model,nodes,vertices,features,time,exp_type
agnn,16,1048576,128,28.789,AGNN_THIS_WORK
agnn,16,1048576,16,1.125,AGNN_THIS_WORK
agnn,16,131072,128,8.721,AGNN_THIS_WORK
agnn,16,131072,16,0.317,AGNN_THIS_WORK
agnn,16,2097152,128,130.206,AGNN_THIS_WORK
agnn,16,2097152,16,3.867,AGNN_THIS_WORK
agnn,16,262144,128,56.64,AGNN_THIS_WORK
agnn,16,262144,16,0.956,AGNN_THIS_WORK
agnn,1,1048576,128,545.083,AGNN_THIS_WORK
agnn,1,1048576,16,11.494,AGNN_THIS_WORK
agnn,1,131072,128,356.024,AGNN_THIS_WORK
agnn,1,131072,16,3.73,AGNN_THIS_WORK
agnn,256,1048576,128,3.835,AGNN_THIS_WORK
agnn,256,1048576,16,0.269,AGNN_THIS_WORK
agnn,256,131072,128,0.87,AGNN_THIS_WORK
agnn,256,131072,16,0.063,AGNN_THIS_WORK
agnn,256,2097152,128,9.689,AGNN_THIS_WORK
agnn,256,2097152,16,0.576,AGNN_THIS_WORK
agnn,256,262144,128,2.267,AGNN_THIS_WORK
agnn,256,262144,16,0.149,AGNN_THIS_WORK
agnn,4,1048576,128,127.131,AGNN_THIS_WORK
agnn,4,1048576,16,3.834,AGNN_THIS_WORK
agnn,4,131072,128,60.065,AGNN_THIS_WORK
agnn,4,131072,16,0.979,AGNN_THIS_WORK
agnn,4,2097152,128,568.194,AGNN_THIS_WORK
agnn,4,2097152,16,12.06,AGNN_THIS_WORK
agnn,4,262144,128,331.417,AGNN_THIS_WORK
agnn,4,262144,16,3.675,AGNN_THIS_WORK
agnn,64,1048576,128,9.184,AGNN_THIS_WORK
agnn,64,1048576,16,0.511,AGNN_THIS_WORK
agnn,64,131072,128,2.229,AGNN_THIS_WORK
agnn,64,131072,16,0.131,AGNN_THIS_WORK
agnn,64,2097152,128,29.663,AGNN_THIS_WORK
agnn,64,2097152,16,1.328,AGNN_THIS_WORK
agnn,64,262144,128,8.518,AGNN_THIS_WORK
agnn,64,262144,16,0.339,AGNN_THIS_WORK
gat,16,1048576,128,6.795,GAT_THIS_WORK
gat,16,1048576,16,1.0,GAT_THIS_WORK
gat,16,131072,128,1.133,GAT_THIS_WORK
gat,16,131072,16,0.407,GAT_THIS_WORK
gat,16,2097152,128,17.405,GAT_THIS_WORK
gat,16,2097152,16,4.034,GAT_THIS_WORK
gat,16,262144,128,4.786,GAT_THIS_WORK
gat,16,262144,16,1.737,GAT_THIS_WORK
gat,1,1048576,128,45.191,GAT_THIS_WORK
gat,1,1048576,16,13.502,GAT_THIS_WORK
gat,1,131072,128,19.098,GAT_THIS_WORK
gat,1,131072,16,8.022,GAT_THIS_WORK
gat,1,2097152,128,151.507,GAT_THIS_WORK
gat,1,2097152,16,52.751,GAT_THIS_WORK
gat,256,1048576,128,1.754,GAT_THIS_WORK
gat,256,1048576,16,0.246,GAT_THIS_WORK
gat,256,131072,128,0.249,GAT_THIS_WORK
gat,256,131072,16,0.106,GAT_THIS_WORK
gat,256,2097152,128,3.594,GAT_THIS_WORK
gat,256,2097152,16,0.484,GAT_THIS_WORK
gat,256,262144,128,0.508,GAT_THIS_WORK
gat,256,262144,16,0.127,GAT_THIS_WORK
gat,4,1048576,128,17.115,GAT_THIS_WORK
gat,4,1048576,16,4.052,GAT_THIS_WORK
gat,4,131072,128,4.805,GAT_THIS_WORK
gat,4,131072,16,1.797,GAT_THIS_WORK
gat,4,2097152,128,48.463,GAT_THIS_WORK
gat,4,2097152,16,13.917,GAT_THIS_WORK
gat,4,262144,128,18.633,GAT_THIS_WORK
gat,4,262144,16,7.628,GAT_THIS_WORK
gat,64,1048576,128,3.332,GAT_THIS_WORK
gat,64,1048576,16,0.44,GAT_THIS_WORK
gat,64,131072,128,0.503,GAT_THIS_WORK
gat,64,131072,16,0.113,GAT_THIS_WORK
gat,64,2097152,128,7.244,GAT_THIS_WORK
gat,64,2097152,16,1.028,GAT_THIS_WORK
gat,64,262144,128,1.193,GAT_THIS_WORK
gat,64,262144,16,0.436,GAT_THIS_WORK
va,16,1048576,128,31.476,VA_THIS_WORK
va,16,1048576,16,2.278,VA_THIS_WORK
va,16,131072,128,12.171,VA_THIS_WORK
va,16,131072,16,0.981,VA_THIS_WORK
va,16,2097152,128,101.649,VA_THIS_WORK
va,16,2097152,16,7.992,VA_THIS_WORK
va,16,262144,128,82.385,VA_THIS_WORK
va,16,262144,16,4.516,VA_THIS_WORK
va,1,1048576,128,330.544,VA_THIS_WORK
va,1,1048576,16,25.456,VA_THIS_WORK
va,1,131072,16,20.287,VA_THIS_WORK
va,1,2097152,16,90.555,VA_THIS_WORK
va,256,1048576,128,3.712,VA_THIS_WORK
va,256,1048576,16,0.295,VA_THIS_WORK
va,256,131072,128,0.936,VA_THIS_WORK
va,256,131072,16,0.075,VA_THIS_WORK
va,256,2097152,128,11.088,VA_THIS_WORK
va,256,2097152,16,0.847,VA_THIS_WORK
va,256,262144,128,2.634,VA_THIS_WORK
va,256,262144,16,0.38,VA_THIS_WORK
va,4,1048576,128,100.059,VA_THIS_WORK
va,4,1048576,16,7.992,VA_THIS_WORK
va,4,131072,128,85.627,VA_THIS_WORK
va,4,131072,16,4.651,VA_THIS_WORK
va,4,2097152,16,25.382,VA_THIS_WORK
va,4,262144,16,19.34,VA_THIS_WORK
va,64,1048576,128,10.55,VA_THIS_WORK
va,64,1048576,16,0.795,VA_THIS_WORK
va,64,131072,128,2.596,VA_THIS_WORK
va,64,131072,16,0.284,VA_THIS_WORK
va,64,2097152,128,32.505,VA_THIS_WORK
va,64,2097152,16,2.264,VA_THIS_WORK
va,64,262144,128,11.621,VA_THIS_WORK
va,64,262144,16,0.951,VA_THIS_WORK
agnn,1,131072,16,0.0892565250396728,AGNN_NORM
agnn,1,131072,16,0.1420254707336425,AGNN_DIST
agnn,1,131072,16,3.4209747314453125,AGNN_DIST_SAMPLE
gat,1,131072,16,0.2952308654785156,GAT_NORM
gat,1,131072,16,0.428199291229248,GAT_DIST
gat,1,131072,16,3.411506175994873,GAT_DIST_SAMPLE
va,1,131072,16,0.0466084480285644,VA_NORM
va,1,131072,16,0.1046211719512939,VA_DIST
va,1,131072,16,3.1902434825897217,VA_DIST_SAMPLE
agnn,1,1048576,16,0.5929696559906006,AGNN_NORM
agnn,1,1048576,16,2.1421284675598145,AGNN_DIST
agnn,1,1048576,16,67.34310340881348,AGNN_DIST_SAMPLE
gat,1,1048576,16,3.8231050968170166,GAT_NORM
gat,1,1048576,16,7.663567066192627,GAT_DIST
gat,1,1048576,16,66.95854783058167,GAT_DIST_SAMPLE
va,1,1048576,16,0.3113536834716797,VA_NORM
va,1,1048576,16,1.6263604164123535,VA_DIST
va,1,1048576,16,66.56755757331848,VA_DIST_SAMPLE
agnn,1,262144,16,0.3713607788085937,AGNN_DIST
agnn,1,262144,16,10.505476713180542,AGNN_DIST_SAMPLE
gat,1,262144,16,1.225435733795166,GAT_DIST
gat,1,262144,16,10.440826892852783,GAT_DIST_SAMPLE
va,1,262144,16,0.285754919052124,VA_DIST
va,1,262144,16,10.637407779693604,VA_DIST_SAMPLE
agnn,1,2097152,16,7.196830749511719,AGNN_DIST
agnn,1,2097152,16,215.5280015468597,AGNN_DIST_SAMPLE
gat,1,2097152,16,23.254249572753903,GAT_DIST
gat,1,2097152,16,216.20161485672,GAT_DIST_SAMPLE
va,1,2097152,16,5.474554777145386,VA_DIST
va,1,2097152,16,214.83620977401733,VA_DIST_SAMPLE
agnn,2,131072,16,0.3159871101379394,AGNN_DIST
agnn,2,131072,16,1.6543121337890625,AGNN_DIST_SAMPLE
gat,2,131072,16,0.3775691986083984,GAT_DIST
gat,2,131072,16,1.632054090499878,GAT_DIST_SAMPLE
va,2,131072,16,0.3413293361663818,VA_DIST
va,2,131072,16,1.5862858295440674,VA_DIST_SAMPLE
agnn,2,262144,16,2.467637777328491,AGNN_DIST
agnn,2,262144,16,5.287973403930664,AGNN_DIST_SAMPLE
gat,2,262144,16,1.9824965000152588,GAT_DIST
gat,2,262144,16,5.125658750534058,GAT_DIST_SAMPLE
va,2,262144,16,1.26070237159729,VA_DIST
va,2,262144,16,5.083670377731323,VA_DIST_SAMPLE
agnn,2,1048576,16,11.69194507598877,AGNN_DIST
agnn,2,1048576,16,30.27275347709656,AGNN_DIST_SAMPLE
gat,2,1048576,16,24.57945466041565,GAT_DIST
gat,2,1048576,16,31.660234689712524,GAT_DIST_SAMPLE
va,2,1048576,16,12.133127927780151,VA_DIST
va,2,1048576,16,30.561361074447632,VA_DIST_SAMPLE
agnn,2,2097152,16,61.86097741127014,AGNN_DIST
agnn,2,2097152,16,107.44582748413086,AGNN_DIST_SAMPLE
gat,2,2097152,16,84.61757564544678,GAT_DIST
gat,2,2097152,16,108.273903131485,GAT_DIST_SAMPLE
va,2,2097152,16,68.70750093460083,VA_DIST
va,2,2097152,16,105.1894121170044,VA_DIST_SAMPLE
agnn,4,262144,16,1.5953280925750732,AGNN_DIST
agnn,4,262144,16,2.8219947814941406,AGNN_DIST_SAMPLE
gat,4,262144,16,1.5794384479522705,GAT_DIST
gat,4,262144,16,3.0439608097076416,GAT_DIST_SAMPLE
va,4,262144,16,1.4387829303741455,VA_DIST
va,4,262144,16,2.9219181537628174,VA_DIST_SAMPLE
agnn,4,2097152,16,42.720967531204224,AGNN_DIST
agnn,4,2097152,16,50.410990715026855,AGNN_DIST_SAMPLE
gat,4,2097152,16,41.61839580535889,GAT_DIST
gat,4,2097152,16,50.46276807785034,GAT_DIST_SAMPLE
va,4,2097152,16,40.80825853347778,VA_DIST
va,4,2097152,16,50.04428172111511,VA_DIST_SAMPLE
agnn,4,131072,16,0.2508504390716553,AGNN_DIST
agnn,4,131072,16,0.903080940246582,AGNN_DIST_SAMPLE
gat,4,131072,16,0.3344311714172363,GAT_DIST
gat,4,131072,16,0.937391996383667,GAT_DIST_SAMPLE
va,4,131072,16,0.2221195697784423,VA_DIST
va,4,131072,16,0.953876256942749,VA_DIST_SAMPLE
agnn,4,1048576,16,12.88017439842224,AGNN_DIST
agnn,4,1048576,16,15.46555757522583,AGNN_DIST_SAMPLE
gat,4,1048576,16,11.486980676651,GAT_DIST
gat,4,1048576,16,15.126588821411133,GAT_DIST_SAMPLE
va,4,1048576,16,12.70412302017212,VA_DIST
va,4,1048576,16,15.405323505401611,VA_DIST_SAMPLE
agnn,8,262144,16,0.6310508251190186,AGNN_DIST
agnn,8,262144,16,1.51568341255188,AGNN_DIST_SAMPLE
gat,8,262144,16,0.789607048034668,GAT_DIST
gat,8,262144,16,1.5584044456481934,GAT_DIST_SAMPLE
va,8,262144,16,0.7726576328277588,VA_DIST
va,8,262144,16,1.7439947128295898,VA_DIST_SAMPLE
agnn,8,1048576,16,6.042851209640503,AGNN_DIST
agnn,8,1048576,16,7.713801145553589,AGNN_DIST_SAMPLE
gat,8,1048576,16,6.2204673290252686,GAT_DIST
gat,8,1048576,16,7.542783975601196,GAT_DIST_SAMPLE
va,8,1048576,16,6.206281423568726,VA_DIST
va,8,1048576,16,7.96212887763977,VA_DIST_SAMPLE
agnn,8,131072,16,0.1770758628845214,AGNN_DIST
agnn,8,131072,16,0.5699341297149658,AGNN_DIST_SAMPLE
gat,8,131072,16,0.2238101959228515,GAT_DIST
gat,8,131072,16,0.613147497177124,GAT_DIST_SAMPLE
va,8,131072,16,0.1417984962463379,VA_DIST
va,8,131072,16,0.5264325141906738,VA_DIST_SAMPLE
agnn,8,2097152,16,20.652493238449097,AGNN_DIST
agnn,8,2097152,16,23.72135353088379,AGNN_DIST_SAMPLE
gat,8,2097152,16,21.886102199554443,GAT_DIST
gat,8,2097152,16,24.76089453697205,GAT_DIST_SAMPLE
va,8,2097152,16,20.573429346084595,VA_DIST
va,8,2097152,16,24.31579732894897,VA_DIST_SAMPLE
agnn,16,1048576,16,3.10693097114563,AGNN_DIST
agnn,16,1048576,16,4.003606081008911,AGNN_DIST_SAMPLE
gat,16,1048576,16,3.372950553894043,GAT_DIST
gat,16,1048576,16,4.100652933120728,GAT_DIST_SAMPLE
va,16,1048576,16,3.199792623519897,VA_DIST
va,16,1048576,16,3.9383158683776855,VA_DIST_SAMPLE
agnn,16,2097152,16,11.411282300949097,AGNN_DIST
agnn,16,2097152,16,13.034884691238403,AGNN_DIST_SAMPLE
gat,16,2097152,16,11.518293857574465,GAT_DIST
gat,16,2097152,16,12.91869854927063,GAT_DIST_SAMPLE
va,16,2097152,16,11.470170497894289,VA_DIST
va,16,2097152,16,13.064435720443726,VA_DIST_SAMPLE
agnn,16,262144,16,0.3514933586120605,AGNN_DIST
agnn,16,262144,16,0.9768557548522948,AGNN_DIST_SAMPLE
gat,16,262144,16,0.4115698337554931,GAT_DIST
gat,16,262144,16,1.078711986541748,GAT_DIST_SAMPLE
va,16,262144,16,0.2979400157928467,VA_DIST
va,16,262144,16,0.9752805233001708,VA_DIST_SAMPLE
agnn,16,131072,16,0.2042436599731445,AGNN_DIST
agnn,16,131072,16,0.5816745758056641,AGNN_DIST_SAMPLE
gat,16,131072,16,0.2152793407440185,GAT_DIST
gat,16,131072,16,0.6002459526062012,GAT_DIST_SAMPLE
va,16,131072,16,0.1781117916107177,VA_DIST
va,16,131072,16,0.5401263236999512,VA_DIST_SAMPLE
agnn,32,1048576,16,1.3968894481658936,AGNN_DIST
agnn,32,1048576,16,2.534642219543457,AGNN_DIST_SAMPLE
gat,32,1048576,16,1.7348856925964355,GAT_DIST
gat,32,1048576,16,2.6405625343322754,GAT_DIST_SAMPLE
va,32,1048576,16,1.6761460304260254,VA_DIST
va,32,1048576,16,2.644292116165161,VA_DIST_SAMPLE
agnn,32,262144,16,0.3546376228332519,AGNN_DIST
agnn,32,262144,16,0.9275798797607422,AGNN_DIST_SAMPLE
gat,32,262144,16,0.4040586948394775,GAT_DIST
gat,32,262144,16,1.006725788116455,GAT_DIST_SAMPLE
va,32,262144,16,0.371086835861206,VA_DIST
va,32,262144,16,0.9450562000274658,VA_DIST_SAMPLE
agnn,32,2097152,16,5.762055158615112,AGNN_DIST
agnn,32,2097152,16,7.083981990814209,AGNN_DIST_SAMPLE
gat,32,2097152,16,5.99417519569397,GAT_DIST
gat,32,2097152,16,7.411305904388428,GAT_DIST_SAMPLE
va,32,2097152,16,5.950999975204468,VA_DIST
va,32,2097152,16,7.225114822387695,VA_DIST_SAMPLE
agnn,32,131072,16,0.181145429611206,AGNN_DIST
agnn,32,131072,16,0.5349056720733643,AGNN_DIST_SAMPLE
gat,32,131072,16,0.2108616828918457,GAT_DIST
gat,32,131072,16,0.5495097637176514,GAT_DIST_SAMPLE
va,32,131072,16,0.164417028427124,VA_DIST
va,32,131072,16,0.4835257530212402,VA_DIST_SAMPLE
agnn,1,131072,128,0.2786459922790527,AGNN_DIST
agnn,1,131072,128,3.1429812908172607,AGNN_DIST_SAMPLE
gat,1,131072,128,2.414989709854126,GAT_DIST
gat,1,131072,128,3.61916708946228,GAT_DIST_SAMPLE
va,1,131072,128,0.04386568069458,VA_NORM
va,1,131072,128,0.236717939376831,VA_DIST
va,1,131072,128,3.035097360610962,VA_DIST_SAMPLE
agnn,1,1048576,128,5.474106311798096,AGNN_DIST
agnn,1,1048576,128,64.7973461151123,AGNN_DIST_SAMPLE
gat,1,1048576,128,47.67712616920471,GAT_DIST
gat,1,1048576,128,65.98506331443787,GAT_DIST_SAMPLE
va,1,1048576,128,4.391372919082642,VA_DIST
va,1,1048576,128,65.37630867958069,VA_DIST_SAMPLE
agnn,1,262144,128,0.8781273365020752,AGNN_DIST
agnn,1,262144,128,10.050600290298462,AGNN_DIST_SAMPLE
gat,1,262144,128,7.454304695129394,GAT_DIST
gat,1,262144,128,10.830706119537354,GAT_DIST_SAMPLE
va,1,262144,128,0.7115941047668457,VA_DIST
va,1,262144,128,9.637871026992798,VA_DIST_SAMPLE
agnn,1,2097152,128,16.202322959899902,AGNN_DIST
agnn,1,2097152,128,214.65467524528503,AGNN_DIST_SAMPLE
va,1,2097152,128,12.924249172210692,VA_DIST
va,1,2097152,128,216.3834388256073,VA_DIST_SAMPLE
agnn,2,131072,128,0.4337706565856933,AGNN_DIST
agnn,2,131072,128,1.429260015487671,AGNN_DIST_SAMPLE
gat,2,131072,128,1.2401857376098633,GAT_DIST
gat,2,131072,128,1.831625699996948,GAT_DIST_SAMPLE
va,2,131072,128,0.3135123252868652,VA_DIST
va,2,131072,128,1.4542090892791748,VA_DIST_SAMPLE
agnn,2,262144,128,1.677394151687622,AGNN_DIST
agnn,2,262144,128,4.923186779022217,AGNN_DIST_SAMPLE
gat,2,262144,128,3.9671273231506343,GAT_DIST
gat,2,262144,128,5.571484327316284,GAT_DIST_SAMPLE
va,2,262144,128,1.7551889419555664,VA_DIST
va,2,262144,128,4.696130752563477,VA_DIST_SAMPLE
agnn,2,1048576,128,6.038358688354492,AGNN_DIST
agnn,2,1048576,128,29.176167726516724,AGNN_DIST_SAMPLE
gat,2,1048576,128,26.0395827293396,GAT_DIST
gat,2,1048576,128,29.915119886398315,GAT_DIST_SAMPLE
va,2,1048576,128,5.555506229400635,VA_DIST
va,2,1048576,128,29.894955158233643,VA_DIST_SAMPLE
agnn,2,2097152,128,22.655319213867188,AGNN_DIST
agnn,2,2097152,128,101.90213298797607,AGNN_DIST_SAMPLE
va,2,2097152,128,18.362347841262817,VA_DIST
va,2,2097152,128,101.28818726539612,VA_DIST_SAMPLE
agnn,4,262144,128,0.6492969989776611,AGNN_DIST
agnn,4,262144,128,2.0932164192199707,AGNN_DIST_SAMPLE
gat,4,262144,128,2.0788044929504395,GAT_DIST
gat,4,262144,128,2.898045539855957,GAT_DIST_SAMPLE
va,4,262144,128,0.9532091617584229,VA_DIST
va,4,262144,128,2.213530778884888,VA_DIST_SAMPLE
agnn,4,2097152,128,32.41305899620056,AGNN_DIST
agnn,4,2097152,128,45.38212323188782,AGNN_DIST_SAMPLE
va,4,2097152,128,33.471471309661865,VA_DIST
va,4,2097152,128,45.762226581573486,VA_DIST_SAMPLE
agnn,4,131072,128,0.3560290336608886,AGNN_DIST
agnn,4,131072,128,0.8754594326019287,AGNN_DIST_SAMPLE
gat,4,131072,128,0.723360538482666,GAT_DIST
gat,4,131072,128,1.1590557098388672,GAT_DIST_SAMPLE
va,4,131072,128,0.4980688095092773,VA_DIST
va,4,131072,128,0.8993873596191406,VA_DIST_SAMPLE
agnn,4,1048576,128,4.922217845916748,AGNN_DIST
agnn,4,1048576,128,13.61925458908081,AGNN_DIST_SAMPLE
gat,4,1048576,128,12.562017679214478,GAT_DIST
gat,4,1048576,128,14.115371227264404,GAT_DIST_SAMPLE
va,4,1048576,128,9.658010721206663,VA_DIST
va,4,1048576,128,12.996357917785645,VA_DIST_SAMPLE
agnn,8,262144,128,0.5154683589935303,AGNN_DIST
agnn,8,262144,128,1.359179973602295,AGNN_DIST_SAMPLE
gat,8,262144,128,1.1962883472442627,GAT_DIST
gat,8,262144,128,1.902383804321289,GAT_DIST_SAMPLE
va,8,262144,128,0.6726794242858887,VA_DIST
va,8,262144,128,1.3648130893707275,VA_DIST_SAMPLE
agnn,8,1048576,128,5.230880737304688,AGNN_DIST
agnn,8,1048576,128,7.143689155578613,AGNN_DIST_SAMPLE
gat,8,1048576,128,7.306411981582642,GAT_DIST
gat,8,1048576,128,8.412534475326538,GAT_DIST_SAMPLE
va,8,1048576,128,5.600023746490479,VA_DIST
va,8,1048576,128,6.812688827514648,VA_DIST_SAMPLE
agnn,8,131072,128,0.1935868263244629,AGNN_DIST
agnn,8,131072,128,0.5039918422698975,AGNN_DIST_SAMPLE
gat,8,131072,128,0.4082896709442138,GAT_DIST
gat,8,131072,128,0.810056209564209,GAT_DIST_SAMPLE
va,8,131072,128,0.2242453098297119,VA_DIST
va,8,131072,128,0.5188877582550049,VA_DIST_SAMPLE
agnn,8,2097152,128,19.559120178222656,AGNN_DIST
agnn,8,2097152,128,22.64883399009705,AGNN_DIST_SAMPLE
va,8,2097152,128,18.74183654785156,VA_DIST
va,8,2097152,128,21.531009674072266,VA_DIST_SAMPLE
agnn,16,1048576,128,3.082775831222534,AGNN_DIST
agnn,16,1048576,128,3.8426358699798575,AGNN_DIST_SAMPLE
gat,16,1048576,128,3.86100172996521,GAT_DIST
gat,16,1048576,128,4.80780816078186,GAT_DIST_SAMPLE
va,16,1048576,128,2.9215192794799805,VA_DIST
va,16,1048576,128,3.6099061965942383,VA_DIST_SAMPLE
agnn,16,2097152,128,9.785399436950684,AGNN_DIST
agnn,16,2097152,128,11.855189085006714,AGNN_DIST_SAMPLE
va,16,2097152,128,9.466939210891724,VA_DIST
va,16,2097152,128,12.4635329246521,VA_DIST_SAMPLE
agnn,16,262144,128,0.3641514778137207,AGNN_DIST
agnn,16,262144,128,0.9209909439086914,AGNN_DIST_SAMPLE
gat,16,262144,128,0.763390064239502,GAT_DIST
gat,16,262144,128,1.3861422538757324,GAT_DIST_SAMPLE
va,16,262144,128,0.3357491493225097,VA_DIST
va,16,262144,128,0.9372079372406006,VA_DIST_SAMPLE
agnn,16,131072,128,0.2087910175323486,AGNN_DIST
agnn,16,131072,128,0.5241811275482178,AGNN_DIST_SAMPLE
gat,16,131072,128,0.4068357944488525,GAT_DIST
gat,16,131072,128,0.7141697406768799,GAT_DIST_SAMPLE
va,16,131072,128,0.17445969581604,VA_DIST
va,16,131072,128,0.5337586402893066,VA_DIST_SAMPLE
agnn,32,1048576,128,1.156989574432373,AGNN_DIST
agnn,32,1048576,128,2.413403034210205,AGNN_DIST_SAMPLE
gat,32,1048576,128,2.249406099319458,GAT_DIST
gat,32,1048576,128,3.119332790374756,GAT_DIST_SAMPLE
va,32,1048576,128,1.4842383861541748,VA_DIST
va,32,1048576,128,2.6011695861816406,VA_DIST_SAMPLE
agnn,32,262144,128,0.3794074058532715,AGNN_DIST
agnn,32,262144,128,0.9075934886932372,AGNN_DIST_SAMPLE
gat,32,262144,128,0.7283477783203125,GAT_DIST
gat,32,262144,128,1.2943387031555176,GAT_DIST_SAMPLE
va,32,262144,128,0.4611029624938965,VA_DIST
va,32,262144,128,1.0209732055664062,VA_DIST_SAMPLE
agnn,32,2097152,128,5.062984466552734,AGNN_DIST
agnn,32,2097152,128,6.498382091522217,AGNN_DIST_SAMPLE
va,32,2097152,128,5.447941780090332,VA_DIST
va,32,2097152,128,6.624362230300903,VA_DIST_SAMPLE
agnn,32,131072,128,0.343461275100708,AGNN_DIST
agnn,32,131072,128,0.6031208038330078,AGNN_DIST_SAMPLE
gat,32,131072,128,0.5329818725585938,GAT_DIST
gat,32,131072,128,0.8470370769500732,GAT_DIST_SAMPLE
va,32,131072,128,0.3726224899291992,VA_DIST
va,32,131072,128,0.6988639831542969,VA_DIST_SAMPLE
